scene_id,label,experiment_name,target_object_id,target_category,prior_object_id,asset_format,original_count,inserted_count,inserted_ratio,survived_3000,survival_ratio_3000,survived_30000,survival_ratio_30000
office_0,prior_50k_30000,03-24-prior50k-30k-2026,7,sofa,replica_office_0_obj_7,gaussian,35493,11317,0.3188516045417406,6751,0.596536184501193,2679,0.23672351329857735
office_0,prior_50k_30000,03-24-prior50k-30k-2026,58,table,replica_office_0_obj_58,gaussian,32030,10212,0.31882610053075244,8405,0.823051312181747,4156,0.4069721895808852
office_0,prior_50k_30000,03-24-prior50k-30k-2026,61,chair,replica_office_0_obj_61,gaussian,43916,14002,0.3188359595591584,12193,0.8708041708327382,8243,0.588701614055135
room_0,prior_75k_30000,03-24-prior75k-30k-2026,6,lamp,replica_room_0_obj_6,gaussian,15786,7826,0.4957557329279108,1501,0.19179657551750576,350,0.044722719141323794
room_0,prior_75k_30000,03-24-prior75k-30k-2026,9,sofa,replica_room_0_obj_9,gaussian,47762,23678,0.4957497592228131,21365,0.9023143846608667,12194,0.5149928203395557
room_0,prior_75k_30000,03-24-prior75k-30k-2026,77,sofa,replica_room_0_obj_77,gaussian,53683,26614,0.4957621593428087,23977,0.9009168107011347,12205,0.45859322161268506
room_0,prior_75k_30000,03-24-prior75k-30k-2026,74,chair,replica_room_0_obj_74,gaussian,34054,16882,0.49574205673342336,15375,0.910733325435375,9741,0.5770050941831536
office_0,prior_75k_30000,03-24-prior75k-30k-2026,9,sofa,replica_office_0_obj_9,gaussian,45382,21704,0.4782512890573355,17892,0.8243641725027645,7214,0.33238112790269075
office_0,prior_75k_30000,03-24-prior75k-30k-2026,7,sofa,replica_office_0_obj_7,gaussian,35493,16975,0.4782633195277942,9435,0.5558173784977909,3265,0.1923416789396171
office_0,prior_75k_30000,03-24-prior75k-30k-2026,58,table,replica_office_0_obj_58,gaussian,32030,15318,0.4782391507961286,12643,0.8253688471079775,5848,0.38177307742525135
office_0,prior_75k_30000,03-24-prior75k-30k-2026,61,chair,replica_office_0_obj_61,gaussian,43916,21003,0.4782539393387376,17876,0.851116507165643,10801,0.5142598676379565
room_0,prior_100k_geo_30000,03-24-prior100k-geo-30k-2026,6,lamp,replica_room_0_obj_6,gaussian,15786,10434,0.6609654123907259,852,0.0816561242093157,610,0.05846271803718612
room_0,prior_100k_geo_30000,03-24-prior100k-geo-30k-2026,9,sofa,replica_room_0_obj_9,gaussian,47762,31571,0.661006658012646,27716,0.8778942700579646,18583,0.5886098001330334
room_0,prior_100k_geo_30000,03-24-prior100k-geo-30k-2026,77,sofa,replica_room_0_obj_77,gaussian,53683,35485,0.6610100031667381,31906,0.899140481893758,21849,0.6157249542060025
room_0,prior_100k_geo_30000,03-24-prior100k-geo-30k-2026,74,chair,replica_room_0_obj_74,gaussian,34054,22510,0.6610089857285488,18710,0.8311861394935585,12578,0.5587738782763216
office_0,prior_100k_geo_30000,03-24-prior100k-geo-30k-2026,9,sofa,replica_office_0_obj_9,gaussian,45382,28939,0.6376757304658235,17631,0.609247036870659,10218,0.3530875289401845
office_0,prior_100k_geo_30000,03-24-prior100k-geo-30k-2026,7,sofa,replica_office_0_obj_7,gaussian,35493,22633,0.6376750345138478,7369,0.32558653293862944,4283,0.18923695488887907
office_0,prior_100k_geo_30000,03-24-prior100k-geo-30k-2026,58,table,replica_office_0_obj_58,gaussian,32030,20424,0.6376522010615049,13740,0.672737955346651,9990,0.4891304347826087
office_0,prior_100k_geo_30000,03-24-prior100k-geo-30k-2026,61,chair,replica_office_0_obj_61,gaussian,43916,28004,0.6376719191183168,17459,0.6234466504785031,9509,0.33955863448078843
