experiment_name,label,scene_id,protection_mode,prior_sh_reset_mode,prior_target_total_gaussians,sfm_region_replacement_mode,iteration,method,psnr,ssim,lpips,gaussian_count,estimated_elapsed_sec
03-22-samescene-rw-v2-384-shzero-15k-2026,C sh_zero,room_0,none,zero_all,0,none,5000,ours_5000,11.146283149719238,0.5019357800483704,0.3742111623287201,2279483,437.784597
03-22-samescene-rw-v2-384-shzero-15k-2026,C sh_zero,room_0,none,zero_all,0,none,7000,ours_7000,11.539397239685059,0.5426931977272034,0.34250834584236145,3055760,612.898435
03-22-samescene-rw-v2-384-shzero-15k-2026,C sh_zero,room_0,none,zero_all,0,none,10000,ours_10000,11.89083194732666,0.5798224806785583,0.3201517164707184,3876797,875.569193
03-22-samescene-rw-v2-384-shzero-15k-2026,C sh_zero,room_0,none,zero_all,0,none,15000,ours_15000,12.260777473449707,0.6144615411758423,0.2994796335697174,4692917,1313.35379
03-22-samescene-rw-v2-384-shzero-weak-15k-2026,C sh_zero weak(0.02),room_0,weak(0.02),zero_all,0,none,0,ours_0,8.13888767361641,0.044938697858015075,0.8347298242151737,200000,0.0
03-22-samescene-rw-v2-384-shzero-weak-15k-2026,C sh_zero weak(0.02),room_0,weak(0.02),zero_all,0,none,500,ours_500,8.876904487609863,0.1323052942752838,0.7449252009391785,200000,25.192931
03-22-samescene-rw-v2-384-shzero-weak-15k-2026,C sh_zero weak(0.02),room_0,weak(0.02),zero_all,0,none,1000,ours_1000,9.072957038879395,0.19776956737041473,0.6868815422058105,234459,50.385861
03-22-samescene-rw-v2-384-shzero-weak-15k-2026,C sh_zero weak(0.02),room_0,weak(0.02),zero_all,0,none,2000,ours_2000,9.86652660369873,0.3338819444179535,0.5357888340950012,575024,100.771723
03-22-samescene-rw-v2-384-shzero-weak-15k-2026,C sh_zero weak(0.02),room_0,weak(0.02),zero_all,0,none,3000,ours_3000,10.547811508178711,0.42837560176849365,0.44623804092407227,1134776,151.157584
03-22-samescene-rw-v2-384-shzero-weak-15k-2026,C sh_zero weak(0.02),room_0,weak(0.02),zero_all,0,none,5000,ours_5000,11.134444236755371,0.49931588768959045,0.3769589960575104,2175723,251.929307
03-22-samescene-rw-v2-384-shzero-weak-15k-2026,C sh_zero weak(0.02),room_0,weak(0.02),zero_all,0,none,7000,ours_7000,11.449268341064453,0.5333622694015503,0.3471395671367645,2928173,352.70103
03-22-samescene-rw-v2-384-shzero-weak-15k-2026,C sh_zero weak(0.02),room_0,weak(0.02),zero_all,0,none,10000,ours_10000,11.878913879394531,0.5788684487342834,0.3208012580871582,3712883,503.858614
03-22-samescene-rw-v2-384-shzero-weak-15k-2026,C sh_zero weak(0.02),room_0,weak(0.02),zero_all,0,none,15000,ours_15000,12.247349739074707,0.613599956035614,0.3004778027534485,4475639,755.787921
03-22-samescene-rw-v2-384-replace-15k-2026,B replace_region,room_0,none,none,0,aligned_prior_aabb_union,0,ours_0,8.170989327132702,0.04962555578094907,0.8236036850139499,183580,0.0
03-22-samescene-rw-v2-384-replace-15k-2026,B replace_region,room_0,none,none,0,aligned_prior_aabb_union,500,ours_500,8.878880500793457,0.1395435780286789,0.7375702857971191,183580,44.402205
03-22-samescene-rw-v2-384-replace-15k-2026,B replace_region,room_0,none,none,0,aligned_prior_aabb_union,1000,ours_1000,9.107882499694824,0.20711034536361694,0.6811978816986084,222709,88.80441
03-22-samescene-rw-v2-384-replace-15k-2026,B replace_region,room_0,none,none,0,aligned_prior_aabb_union,2000,ours_2000,9.972771644592285,0.348400354385376,0.5267561078071594,594831,177.60882
03-22-samescene-rw-v2-384-replace-15k-2026,B replace_region,room_0,none,none,0,aligned_prior_aabb_union,3000,ours_3000,10.561450004577637,0.4296535551548004,0.44176867604255676,1195419,266.413229
03-22-samescene-rw-v2-384-replace-15k-2026,B replace_region,room_0,none,none,0,aligned_prior_aabb_union,5000,ours_5000,11.14609146118164,0.5003826022148132,0.37246575951576233,2283904,444.022049
03-22-samescene-rw-v2-384-replace-15k-2026,B replace_region,room_0,none,none,0,aligned_prior_aabb_union,7000,ours_7000,11.598685264587402,0.5477997064590454,0.34014368057250977,3066981,621.630869
03-22-samescene-rw-v2-384-replace-15k-2026,B replace_region,room_0,none,none,0,aligned_prior_aabb_union,10000,ours_10000,11.857708930969238,0.5756531357765198,0.32093489170074463,3870891,888.044098
03-22-samescene-rw-v2-384-replace-15k-2026,B replace_region,room_0,none,none,0,aligned_prior_aabb_union,15000,ours_15000,12.253632545471191,0.6142246127128601,0.30115821957588196,4601648,1332.066147
03-22-samescene-rw-v2-384-replace-weak-15k-2026,B replace_region weak(0.02),room_0,weak(0.02),none,0,aligned_prior_aabb_union,0,ours_0,8.170989327132702,0.04962555578094907,0.8236036850139499,183580,0.0
03-22-samescene-rw-v2-384-replace-weak-15k-2026,B replace_region weak(0.02),room_0,weak(0.02),none,0,aligned_prior_aabb_union,500,ours_500,8.860567092895508,0.1383553445339203,0.7390387058258057,183580,22.844874
03-22-samescene-rw-v2-384-replace-weak-15k-2026,B replace_region weak(0.02),room_0,weak(0.02),none,0,aligned_prior_aabb_union,1000,ours_1000,9.112428665161133,0.20721471309661865,0.6806674599647522,215412,45.689748
03-22-samescene-rw-v2-384-replace-weak-15k-2026,B replace_region weak(0.02),room_0,weak(0.02),none,0,aligned_prior_aabb_union,2000,ours_2000,9.957499504089355,0.34453919529914856,0.5335491299629211,540609,91.379495
03-22-samescene-rw-v2-384-replace-weak-15k-2026,B replace_region weak(0.02),room_0,weak(0.02),none,0,aligned_prior_aabb_union,3000,ours_3000,10.419504165649414,0.4115633964538574,0.4546619653701782,1085658,137.069243
03-22-samescene-rw-v2-384-replace-weak-15k-2026,B replace_region weak(0.02),room_0,weak(0.02),none,0,aligned_prior_aabb_union,5000,ours_5000,11.061870574951172,0.4888555109500885,0.38088861107826233,2093119,228.448738
03-22-samescene-rw-v2-384-replace-weak-15k-2026,B replace_region weak(0.02),room_0,weak(0.02),none,0,aligned_prior_aabb_union,7000,ours_7000,11.393424034118652,0.526999294757843,0.3524881601333618,2777373,319.828233
03-22-samescene-rw-v2-384-replace-weak-15k-2026,B replace_region weak(0.02),room_0,weak(0.02),none,0,aligned_prior_aabb_union,10000,ours_10000,11.742449760437012,0.5642543435096741,0.3304881751537323,3472499,456.897475
03-22-samescene-rw-v2-384-replace-weak-15k-2026,B replace_region weak(0.02),room_0,weak(0.02),none,0,aligned_prior_aabb_union,15000,ours_15000,12.126069068908691,0.602580189704895,0.3081745207309723,4186766,685.346213
03-23-samescene-rw-v2-384-prior25k-15k-2026,A prior_25k,room_0,none,none,25000,none,0,ours_0,8.099511548876762,0.04750263720052317,0.8330871053040028,125000,0.0
03-23-samescene-rw-v2-384-prior25k-15k-2026,A prior_25k,room_0,none,none,25000,none,500,ours_500,8.897965431213379,0.14060640335083008,0.7383835315704346,125000,23.756153
03-23-samescene-rw-v2-384-prior25k-15k-2026,A prior_25k,room_0,none,none,25000,none,1000,ours_1000,9.150385856628418,0.20959822833538055,0.6755192279815674,170922,47.512306
03-23-samescene-rw-v2-384-prior25k-15k-2026,A prior_25k,room_0,none,none,25000,none,2000,ours_2000,9.893340110778809,0.3406294584274292,0.5228466987609863,565397,95.024613
03-23-samescene-rw-v2-384-prior25k-15k-2026,A prior_25k,room_0,none,none,25000,none,3000,ours_3000,10.56064224243164,0.43079283833503723,0.4372189939022064,1183260,142.536919
03-23-samescene-rw-v2-384-prior25k-15k-2026,A prior_25k,room_0,none,none,25000,none,5000,ours_5000,10.96657657623291,0.48362424969673157,0.37558385729789734,2294574,237.561532
03-23-samescene-rw-v2-384-prior25k-15k-2026,A prior_25k,room_0,none,none,25000,none,7000,ours_7000,11.510954856872559,0.5412642359733582,0.3404165804386139,3079413,332.586145
03-23-samescene-rw-v2-384-prior25k-15k-2026,A prior_25k,room_0,none,none,25000,none,10000,ours_10000,11.752150535583496,0.5681962966918945,0.32417964935302734,3898485,475.123065
03-23-samescene-rw-v2-384-prior25k-15k-2026,A prior_25k,room_0,none,none,25000,none,15000,ours_15000,12.289521217346191,0.616339921951294,0.29931262135505676,4667135,712.684597
03-22-samescene-rw-v2-384-prior50k-15k-2026,A prior_50k,room_0,none,none,50000,none,0,ours_0,8.066907845437527,0.04764573962893337,0.8307457817718387,150000,0.0
03-22-samescene-rw-v2-384-prior50k-15k-2026,A prior_50k,room_0,none,none,50000,none,500,ours_500,8.915337562561035,0.1428474634885788,0.7361809611320496,150000,23.741985
03-22-samescene-rw-v2-384-prior50k-15k-2026,A prior_50k,room_0,none,none,50000,none,1000,ours_1000,9.165318489074707,0.21397848427295685,0.6765725016593933,195912,47.48397
03-22-samescene-rw-v2-384-prior50k-15k-2026,A prior_50k,room_0,none,none,50000,none,2000,ours_2000,9.963696479797363,0.34817394614219666,0.5218126177787781,586886,94.967941
03-22-samescene-rw-v2-384-prior50k-15k-2026,A prior_50k,room_0,none,none,50000,none,3000,ours_3000,10.560683250427246,0.43119433522224426,0.4377981424331665,1194297,142.451911
03-22-samescene-rw-v2-384-prior50k-15k-2026,A prior_50k,room_0,none,none,50000,none,5000,ours_5000,11.091341972351074,0.4952991008758545,0.3720231056213379,2287066,237.419852
03-22-samescene-rw-v2-384-prior50k-15k-2026,A prior_50k,room_0,none,none,50000,none,7000,ours_7000,11.457829475402832,0.535611629486084,0.34454140067100525,3062014,332.387792
03-22-samescene-rw-v2-384-prior50k-15k-2026,A prior_50k,room_0,none,none,50000,none,10000,ours_10000,11.87937068939209,0.5780481696128845,0.3192931115627289,3872125,474.839703
03-22-samescene-rw-v2-384-prior50k-15k-2026,A prior_50k,room_0,none,none,50000,none,15000,ours_15000,12.2940673828125,0.618663489818573,0.2985065281391144,4630131,712.259555
03-22-samescene-rw-v2-384-prior25k-weak-15k-2026,A prior_25k weak(0.02),room_0,weak(0.02),none,25000,none,0,ours_0,8.099732771515846,0.04749681396060623,0.832728274166584,125000,0.0
03-22-samescene-rw-v2-384-prior25k-weak-15k-2026,A prior_25k weak(0.02),room_0,weak(0.02),none,25000,none,500,ours_500,8.908003807067871,0.14239417016506195,0.7363418936729431,125000,23.096936
03-22-samescene-rw-v2-384-prior25k-weak-15k-2026,A prior_25k weak(0.02),room_0,weak(0.02),none,25000,none,1000,ours_1000,9.12787914276123,0.21097785234451294,0.6809506416320801,159466,46.193872
03-22-samescene-rw-v2-384-prior25k-weak-15k-2026,A prior_25k weak(0.02),room_0,weak(0.02),none,25000,none,2000,ours_2000,9.840389251708984,0.331833153963089,0.5373789668083191,498996,92.387744
03-22-samescene-rw-v2-384-prior25k-weak-15k-2026,A prior_25k weak(0.02),room_0,weak(0.02),none,25000,none,3000,ours_3000,10.409895896911621,0.41078436374664307,0.4542028605937958,1061157,138.581616
03-22-samescene-rw-v2-384-prior25k-weak-15k-2026,A prior_25k weak(0.02),room_0,weak(0.02),none,25000,none,5000,ours_5000,11.189093589782715,0.5024003386497498,0.3763227164745331,2092104,230.96936
03-22-samescene-rw-v2-384-prior25k-weak-15k-2026,A prior_25k weak(0.02),room_0,weak(0.02),none,25000,none,7000,ours_7000,11.590492248535156,0.5472989082336426,0.34430447220802307,2818440,323.357105
03-22-samescene-rw-v2-384-prior25k-weak-15k-2026,A prior_25k weak(0.02),room_0,weak(0.02),none,25000,none,10000,ours_10000,11.79781436920166,0.5704134106636047,0.32636675238609314,3601613,461.938721
03-22-samescene-rw-v2-384-prior25k-weak-15k-2026,A prior_25k weak(0.02),room_0,weak(0.02),none,25000,none,15000,ours_15000,12.195473670959473,0.6096200346946716,0.30369648337364197,4347875,692.908081
03-22-samescene-rw-v2-384-prior50k-weak-15k-2026,A prior_50k weak(0.02),room_0,weak(0.02),none,50000,none,0,ours_0,8.066879272460938,0.047621860896470025,0.8304613186046481,150000,0.0
03-22-samescene-rw-v2-384-prior50k-weak-15k-2026,A prior_50k weak(0.02),room_0,weak(0.02),none,50000,none,500,ours_500,8.923457145690918,0.14622341096401215,0.7342516779899597,150000,22.756659
03-22-samescene-rw-v2-384-prior50k-weak-15k-2026,A prior_50k weak(0.02),room_0,weak(0.02),none,50000,none,1000,ours_1000,9.1244478225708,0.20820535719394684,0.67842036485672,184394,45.513319
03-22-samescene-rw-v2-384-prior50k-weak-15k-2026,A prior_50k weak(0.02),room_0,weak(0.02),none,50000,none,2000,ours_2000,9.9302396774292,0.3429395258426666,0.5285570621490479,520313,91.026637
03-22-samescene-rw-v2-384-prior50k-weak-15k-2026,A prior_50k weak(0.02),room_0,weak(0.02),none,50000,none,3000,ours_3000,10.361496925354004,0.40770748257637024,0.4540276825428009,1070078,136.539956
03-22-samescene-rw-v2-384-prior50k-weak-15k-2026,A prior_50k weak(0.02),room_0,weak(0.02),none,50000,none,5000,ours_5000,11.099952697753906,0.4957484304904938,0.3803524076938629,2076345,227.566594
03-22-samescene-rw-v2-384-prior50k-weak-15k-2026,A prior_50k weak(0.02),room_0,weak(0.02),none,50000,none,7000,ours_7000,11.474014282226562,0.5372259020805359,0.3487623929977417,2784320,318.593231
03-22-samescene-rw-v2-384-prior50k-weak-15k-2026,A prior_50k weak(0.02),room_0,weak(0.02),none,50000,none,10000,ours_10000,11.767101287841797,0.5683737397193909,0.32689476013183594,3501977,455.133187
03-22-samescene-rw-v2-384-prior50k-weak-15k-2026,A prior_50k weak(0.02),room_0,weak(0.02),none,50000,none,15000,ours_15000,12.10953426361084,0.6027455925941467,0.3083495795726776,4205251,682.699781
