scene_id,group,label,experiment_name,target_psnr,time_to_target_sec,total_time_sec,iter_0_psnr,iter_3000_psnr,iter_15000_psnr,iter_30000_psnr,iter_30000_ssim,iter_30000_lpips,iter_30000_gaussians,delta_final_psnr_vs_baseline,prior_original_total,prior_inserted_total,prior_survived_3000,prior_survived_30000,prior_survival_ratio_3000,prior_survival_ratio_30000
room_0,extension,baseline_30000,gaussian_direct_surface_rgb_baseline_30000,42.70086669921875,28.353985,283.5398453581147,11.234102204442024,42.70086669921875,46.82331848144531,48.133544921875,0.9938716292381287,0.018072286620736122,212660,,0,0,,,,
office_0,extension,baseline_30000,gaussian_direct_surface_rgb_baseline_30000,36.11878204345703,27.446639,274.46639121090993,13.053640112280846,36.11878204345703,45.0428352355957,46.266353607177734,0.9919580817222595,0.02045499160885811,226403,,0,0,,,,
room_0,extension,prior_100k_30000,gaussian_direct_surface_rgb_prior_100k_30000,42.70086669921875,30.388441,303.884412645828,11.218796744942665,43.19645309448242,46.80564498901367,48.11271667480469,0.993889331817627,0.01883288100361824,223732,-0.0208282470703125,151285,100000,89304,21205,0.89304,0.21205
office_0,extension,prior_100k_30000,gaussian_direct_surface_rgb_prior_100k_30000,36.11878204345703,50.394571,302.36742371413857,12.981772303581238,35.01937484741211,42.91835021972656,45.76911544799805,0.9906746745109558,0.022499697282910347,255568,-0.4972381591796875,156821,100000,92298,30712,0.92298,0.30712
room_0,extension,prior_full_30000,gaussian_direct_surface_rgb_prior_full_30000,42.70086669921875,31.497099,314.97098509175703,11.217545062303543,42.8261833190918,46.985103607177734,47.815032958984375,0.9938086867332458,0.018730640411376953,230276,-0.318511962890625,151285,151285,138568,31070,0.9159401130316951,0.20537396304987277
office_0,extension,prior_full_30000,gaussian_direct_surface_rgb_prior_full_30000,36.11878204345703,53.560331,321.36198495700955,12.977068305015564,35.370235443115234,44.778472900390625,45.941951751708984,0.9910752773284912,0.023291125893592834,269338,-0.32440185546875,156821,156821,147201,45292,0.9386561748745385,0.2888133604555512
room_0,extension,prior_25k_30000,gaussian_direct_surface_rgb_prior_25k_30000,42.70086669921875,28.987038,289.87037773104385,11.225345999002457,43.615169525146484,46.664302825927734,47.591609954833984,0.9936335682868958,0.01871318928897381,211842,-0.5419349670410156,151285,25000,22375,9745,0.895,0.3898
office_0,extension,prior_25k_30000,gaussian_direct_surface_rgb_prior_25k_30000,36.11878204345703,28.371667,283.7166700847447,13.01513209939003,37.0439338684082,43.47397994995117,45.645626068115234,0.9900738596916199,0.023924967274069786,234842,-0.6207275390625,156821,25000,22487,10720,0.89948,0.4288
room_0,extension,prior_50k_30000,gaussian_direct_surface_rgb_prior_50k_30000,42.70086669921875,29.154656,291.5465570227243,11.221720054745674,43.54153060913086,46.32832336425781,48.021358489990234,0.9938451647758484,0.019028419628739357,206670,-0.11218643188476562,151285,50000,43727,15798,0.87454,0.31596
office_0,extension,prior_50k_30000,gaussian_direct_surface_rgb_prior_50k_30000,36.11878204345703,28.790369,287.9036869769916,12.997240662574768,36.88847732543945,44.82908630371094,46.53386306762695,0.9923827648162842,0.01954270713031292,238276,0.26750946044921875,156821,50000,45103,19390,0.90206,0.3878
room_0,extension,prior_75k_30000,gaussian_direct_surface_rgb_prior_75k_30000,42.70086669921875,30.734529,307.34528728434816,11.219878613948822,42.701446533203125,46.61141586303711,48.292572021484375,0.9939301609992981,0.018091153353452682,235726,0.159027099609375,151285,75000,66099,22023,0.88132,0.29364
office_0,extension,prior_75k_30000,gaussian_direct_surface_rgb_prior_75k_30000,36.11878204345703,29.737442,297.3744213078171,12.987667366862297,36.96194076538086,44.64656448364258,46.318660736083984,0.9920291304588318,0.019660869613289833,249957,0.05230712890625,156821,75000,68828,26605,0.9177066666666667,0.35473333333333334
room_0,extension,prior_100k_geo_30000,gaussian_direct_surface_rgb_prior_100k_geo_30000,42.70086669921875,30.667773,306.6777313416824,11.216349959373474,42.882877349853516,46.31591796875,48.112552642822266,0.993868350982666,0.018203606829047203,231337,-0.020992279052734375,151285,100000,74378,21788,0.74378,0.21788
office_0,extension,prior_100k_geo_30000,gaussian_direct_surface_rgb_prior_100k_geo_30000,36.11878204345703,49.876914,299.2614841060713,12.937106937170029,34.5054931640625,41.952674865722656,45.44718933105469,0.9866939187049866,0.029577642679214478,255107,-0.8191642761230469,156821,100000,64827,28055,0.64827,0.28055
room_0,extension,prior_50k_geo_30000,gaussian_direct_surface_rgb_prior_50k_geo_30000,42.70086669921875,49.05734,294.3440379211679,11.217922180891037,42.14226150512695,45.72877883911133,47.755977630615234,0.9937308430671692,0.01917314901947975,214029,-0.3775672912597656,151285,50000,38777,12718,0.77554,0.25436
office_0,extension,prior_50k_geo_30000,gaussian_direct_surface_rgb_prior_50k_geo_30000,36.11878204345703,28.816542,288.16541677108034,12.954859122633934,36.75287628173828,42.464603424072266,45.276737213134766,0.9880358576774597,0.02864094264805317,240259,-0.9896163940429688,156821,50000,34296,17874,0.68592,0.35748
