scene_id,label,experiment_name,target_object_id,target_category,prior_object_id,asset_format,original_count,inserted_count,inserted_ratio,survived_3000,survival_ratio_3000,survived_15000,survival_ratio_15000
room_0,prior_50k,gaussian_direct_surface_rgb_prior_50k_15000,6,lamp,replica_room_0_obj_6,gaussian,15786,5217,0.33048270619536296,2574,0.4933870040253019,1432,0.2744872532106575
room_0,prior_50k,gaussian_direct_surface_rgb_prior_50k_15000,9,sofa,replica_room_0_obj_9,gaussian,47762,15786,0.33051379757966587,14571,0.9230330672748005,6436,0.4077030279994932
room_0,prior_50k,gaussian_direct_surface_rgb_prior_50k_15000,77,sofa,replica_room_0_obj_77,gaussian,53683,17742,0.33049568764785875,16540,0.9322511554503439,4537,0.25572088828767897
room_0,prior_50k,gaussian_direct_surface_rgb_prior_50k_15000,74,chair,replica_room_0_obj_74,gaussian,34054,11255,0.3305044928642744,10379,0.9221679253665038,2782,0.2471790315415371
office_0,prior_50k,gaussian_direct_surface_rgb_prior_50k_15000,9,sofa,replica_office_0_obj_9,gaussian,45382,14469,0.31882684764884756,13057,0.9024120533554496,6302,0.43555186951413366
office_0,prior_50k,gaussian_direct_surface_rgb_prior_50k_15000,7,sofa,replica_office_0_obj_7,gaussian,35493,11317,0.3188516045417406,9825,0.8681629407086684,2344,0.20712202880622074
office_0,prior_50k,gaussian_direct_surface_rgb_prior_50k_15000,58,table,replica_office_0_obj_58,gaussian,32030,10212,0.31882610053075244,9573,0.9374265569917744,4421,0.4329220524872699
office_0,prior_50k,gaussian_direct_surface_rgb_prior_50k_15000,61,chair,replica_office_0_obj_61,gaussian,43916,14002,0.3188359595591584,12473,0.890801314097986,4844,0.3459505784887873
room_0,prior_75k,gaussian_direct_surface_rgb_prior_75k_15000,6,lamp,replica_room_0_obj_6,gaussian,15786,7826,0.4957557329279108,3756,0.4799386659851776,1580,0.20189113212369025
room_0,prior_75k,gaussian_direct_surface_rgb_prior_75k_15000,9,sofa,replica_room_0_obj_9,gaussian,47762,23678,0.4957497592228131,22028,0.9303150603936143,5479,0.23139623278993157
room_0,prior_75k,gaussian_direct_surface_rgb_prior_75k_15000,77,sofa,replica_room_0_obj_77,gaussian,53683,26614,0.4957621593428087,25133,0.9443525963778463,5854,0.21995941985421208
room_0,prior_75k,gaussian_direct_surface_rgb_prior_75k_15000,74,chair,replica_room_0_obj_74,gaussian,34054,16882,0.49574205673342336,15679,0.9287406705366663,2501,0.148145954270821
office_0,prior_75k,gaussian_direct_surface_rgb_prior_75k_15000,9,sofa,replica_office_0_obj_9,gaussian,45382,21704,0.4782512890573355,19894,0.9166052340582381,9099,0.4192314780685588
office_0,prior_75k,gaussian_direct_surface_rgb_prior_75k_15000,7,sofa,replica_office_0_obj_7,gaussian,35493,16975,0.4782633195277942,14656,0.8633873343151693,4753,0.28
office_0,prior_75k,gaussian_direct_surface_rgb_prior_75k_15000,58,table,replica_office_0_obj_58,gaussian,32030,15318,0.4782391507961286,14569,0.9511032771902337,5974,0.38999869434652046
office_0,prior_75k,gaussian_direct_surface_rgb_prior_75k_15000,61,chair,replica_office_0_obj_61,gaussian,43916,21003,0.4782539393387376,19552,0.9309146312431558,9336,0.4445079274389373
room_0,prior_100k_geo,gaussian_direct_surface_rgb_prior_100k_geo_15000,6,lamp,replica_room_0_obj_6,gaussian,15786,10434,0.6609654123907259,3375,0.3234617596319724,1389,0.13312248418631398
room_0,prior_100k_geo,gaussian_direct_surface_rgb_prior_100k_geo_15000,9,sofa,replica_room_0_obj_9,gaussian,47762,31571,0.661006658012646,22249,0.7047290234709068,3856,0.12213740458015267
room_0,prior_100k_geo,gaussian_direct_surface_rgb_prior_100k_geo_15000,77,sofa,replica_room_0_obj_77,gaussian,53683,35485,0.6610100031667381,30410,0.8569818233056221,6420,0.18092151613357757
