scene_id,group,label,experiment_name,target_psnr,time_to_target_sec,total_time_sec,iter_0_psnr,iter_0_ssim,iter_0_lpips,iter_0_gaussians,iter_3000_psnr,iter_3000_ssim,iter_3000_lpips,iter_3000_gaussians,iter_15000_psnr,iter_15000_ssim,iter_15000_lpips,iter_15000_gaussians,delta_final_psnr_vs_baseline,prior_original_total,prior_inserted_total,prior_survived_3000,prior_survived_15000,prior_survival_ratio_3000,prior_survival_ratio_15000
room_0,reference,baseline,gaussian_direct_surface_rgb_baseline_15000,41.63006591796875,32.014528,160.07263872865587,11.234102204442024,0.5496061556041241,0.5975933838635683,100000,41.63006591796875,0.9851054549217224,0.06032716855406761,201178,46.68162155151367,0.9928641319274902,0.023533174768090248,207338,,0,0,,,,
office_0,reference,baseline,gaussian_direct_surface_rgb_baseline_15000,36.58024978637695,31.69008,158.45040020160377,13.053640112280846,0.591483193449676,0.5628732414916158,100000,36.58024978637695,0.9721274375915527,0.0787864699959755,224321,43.73674011230469,0.9892198443412781,0.028622835874557495,225564,,0,0,,,,
room_0,reference,prior_full,gaussian_direct_surface_rgb_prior_full_15000,41.63006591796875,36.718641,183.59320734394714,11.217545062303543,0.5490908534266055,0.5966882854700089,251285,42.778106689453125,0.9860425591468811,0.05771498382091522,325179,47.19545364379883,0.9928781986236572,0.024173423647880554,223873,0.5138320922851562,151285,151285,138303,29708,0.9141884522589814,0.19637108768218925
office_0,reference,prior_full,gaussian_direct_surface_rgb_prior_full_15000,36.58024978637695,62.552734,187.65820319298655,12.977068305015564,0.5895718019455671,0.560355644673109,256821,34.48268127441406,0.9634789824485779,0.09520076960325241,371011,43.38483810424805,0.9871826767921448,0.03357948735356331,266456,-0.3519020080566406,156821,156821,147613,39665,0.9412833740379158,0.2529316864450552
room_0,reference,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,41.63006591796875,35.36436,176.8218013867736,11.218705669045448,0.5491290874779224,0.5967098260298371,200000,43.39707946777344,0.987372100353241,0.053415004163980484,284142,47.18379592895508,0.9930118918418884,0.02218322642147541,222044,0.5021743774414062,151285,100000,89386,22512,0.89386,0.22512
office_0,reference,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,36.58024978637695,35.515227,177.57613251684234,12.981393367052078,0.5894779171794653,0.5605606315657496,200000,38.007389068603516,0.9767863154411316,0.07435479760169983,307555,45.2078971862793,0.9907299876213074,0.024703145027160645,250789,1.4711570739746094,156821,100000,93023,35944,0.93023,0.35944
room_0,reference,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,41.63006591796875,55.447058,166.3411751310341,11.225242838263512,0.5492338510230184,0.5971847148612142,125000,41.386775970458984,0.9842620491981506,0.0647425502538681,219725,46.10273742675781,0.9924156069755554,0.02492646686732769,214674,-0.5788841247558594,151285,25000,22507,10037,0.90028,0.40148
office_0,reference,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,36.58024978637695,32.63828,163.191400796175,13.015128821134567,0.5892062596976757,0.5611996334046125,125000,37.58660125732422,0.9768543243408203,0.06859845668077469,234490,44.866886138916016,0.9896478652954102,0.027346430346369743,227121,1.1301460266113281,156821,25000,22534,12285,0.90136,0.4914
room_0,reference,prior_25k_full_none,gaussian_direct_surface_rgb_prior_25k_full_none_15000,41.63006591796875,21.850946,163.8820917098783,11.225158676505089,0.5492848884314299,0.5971608879044652,125000,43.59489440917969,0.9872590899467468,0.05181102827191353,210306,46.643802642822266,0.9926042556762695,0.023895448073744774,205938,-0.03781890869140625,151285,25000,22376,9810,0.89504,0.3924
office_0,reference,prior_25k_full_none,gaussian_direct_surface_rgb_prior_25k_full_none_15000,36.58024978637695,54.9242,164.77259862190112,13.014146998524666,0.5894188676029444,0.5612568315118551,125000,35.05068588256836,0.9653472900390625,0.08983387798070908,244943,43.39754104614258,0.9870045185089111,0.03236309811472893,235244,-0.3391990661621094,156821,25000,22524,10920,0.90096,0.4368
room_0,phase5_2,prior_50k,gaussian_direct_surface_rgb_prior_50k_15000,41.63006591796875,33.656524,168.28262106701732,11.22165547311306,0.5492121186107397,0.5968661168590188,150000,42.94461441040039,0.9864416122436523,0.05644654110074043,231831,46.609737396240234,0.9928246140480042,0.023759568110108376,211679,-0.0718841552734375,151285,50000,44064,15187,0.88128,0.30374
office_0,phase5_2,prior_50k,gaussian_direct_surface_rgb_prior_50k_15000,36.58024978637695,56.545493,169.6364789251238,12.996309071779251,0.589175695553422,0.5607711039483547,150000,35.30827331542969,0.9611545205116272,0.10664881020784378,268807,44.14290237426758,0.9893690943717957,0.02772345393896103,243163,0.4061622619628906,156821,50000,44928,17911,0.89856,0.35822
room_0,phase5_2,prior_75k,gaussian_direct_surface_rgb_prior_75k_15000,41.63006591796875,23.045776,172.8433196740225,11.220096975564957,0.5491526960395277,0.5967564387246966,175000,42.887969970703125,0.9866910576820374,0.056121643632650375,253547,46.50260925292969,0.9926233887672424,0.02428739331662655,211097,-0.17901229858398438,151285,75000,66596,15414,0.8879466666666667,0.20552
office_0,phase5_2,prior_75k,gaussian_direct_surface_rgb_prior_75k_15000,36.58024978637695,34.819089,174.09544325759634,12.98646254837513,0.5893747471272945,0.5607083244249225,175000,37.37058639526367,0.9758656620979309,0.07165206223726273,289381,43.763973236083984,0.9848802089691162,0.035232219845056534,253788,0.027233123779296875,156821,75000,68671,29162,0.9156133333333333,0.38882666666666665
room_0,phase5_2,prior_100k_geo,gaussian_direct_surface_rgb_prior_100k_geo_15000,41.63006591796875,22.701604,170.26203004270792,11.215932339429855,0.5490993894636631,0.5963418912142515,200000,43.510677337646484,0.9873037934303284,0.050845663994550705,261778,47.07123947143555,0.9929173588752747,0.02299291454255581,206031,0.389617919921875,151285,100000,75648,13027,0.75648,0.13027
office_0,phase5_2,prior_100k_geo,gaussian_direct_surface_rgb_prior_100k_geo_15000,36.58024978637695,58.136077,174.40822972590104,12.936663180589676,0.5901058157905936,0.5598147474229336,200000,33.77544403076172,0.9658567309379578,0.09363222867250443,288528,43.69625473022461,0.9884448051452637,0.0300308670848608,251141,-0.040485382080078125,156821,100000,63945,26918,0.63945,0.26918
room_0,phase5_2,prior_50k_geo,gaussian_direct_surface_rgb_prior_50k_geo_15000,41.63006591796875,22.354665,167.6599895171821,11.218192145228386,0.5491446629166603,0.5965758077800274,150000,42.955322265625,0.9867241978645325,0.056718479841947556,233001,46.399566650390625,0.9925405383110046,0.024337859824299812,216073,-0.2820549011230469,151285,50000,38708,15032,0.77416,0.30064
office_0,phase5_2,prior_50k_geo,gaussian_direct_surface_rgb_prior_50k_geo_15000,36.58024978637695,33.548724,167.7436178731732,12.954081133008003,0.5896711405366659,0.5602825498208404,150000,37.727848052978516,0.9757716059684753,0.06553979963064194,248713,44.15957260131836,0.9894256591796875,0.028510192409157753,241950,0.4228324890136719,156821,50000,32797,19163,0.65594,0.38326
