scene_id,group,label,experiment_name,target_psnr,time_to_target_sec,total_time_sec,iter_0_psnr,iter_0_ssim,iter_0_lpips,iter_0_gaussians,iter_3000_psnr,iter_3000_ssim,iter_3000_lpips,iter_3000_gaussians,iter_15000_psnr,iter_15000_ssim,iter_15000_lpips,iter_15000_gaussians,delta_iter_0_psnr_vs_baseline,delta_final_psnr_vs_baseline,prior_original_total,prior_inserted_total,prior_survived_3000,prior_survived_15000,prior_survival_ratio_3000,prior_survival_ratio_15000
room_0,reference,baseline,gaussian_direct_surface_rgb_baseline_15000,41.63006591796875,32.014528,160.07263872865587,11.234102204442024,0.5496061556041241,0.5975933838635683,100000,41.63006591796875,0.9851054549217224,0.06032716855406761,201178,46.68162155151367,0.9928641319274902,0.023533174768090248,207338,,,0,0,,,,
office_0,reference,baseline,gaussian_direct_surface_rgb_baseline_15000,36.58024978637695,31.69008,158.45040020160377,13.053640112280846,0.591483193449676,0.5628732414916158,100000,36.58024978637695,0.9721274375915527,0.0787864699959755,224321,43.73674011230469,0.9892198443412781,0.028622835874557495,225564,,,0,0,,,,
room_0,phase5,prior_full,gaussian_direct_surface_rgb_prior_full_15000,41.63006591796875,36.718641,183.59320734394714,11.217545062303543,0.5490908534266055,0.5966882854700089,251285,42.778106689453125,0.9860425591468811,0.05771498382091522,325179,47.19545364379883,0.9928781986236572,0.024173423647880554,223873,-30.412520855665207,0.5138320922851562,151285,151285,138303,29708,0.9141884522589814,0.19637108768218925
office_0,phase5,prior_full,gaussian_direct_surface_rgb_prior_full_15000,36.58024978637695,62.552734,187.65820319298655,12.977068305015564,0.5895718019455671,0.560355644673109,256821,34.48268127441406,0.9634789824485779,0.09520076960325241,371011,43.38483810424805,0.9871826767921448,0.03357948735356331,266456,-23.60318148136139,-0.3519020080566406,156821,156821,147613,39665,0.9412833740379158,0.2529316864450552
room_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,41.63006591796875,35.36436,176.8218013867736,11.218705669045448,0.5491290874779224,0.5967098260298371,200000,43.39707946777344,0.987372100353241,0.053415004163980484,284142,47.18379592895508,0.9930118918418884,0.02218322642147541,222044,-30.4113602489233,0.5021743774414062,151285,100000,89386,22512,0.89386,0.22512
office_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,36.58024978637695,35.515227,177.57613251684234,12.981393367052078,0.5894779171794653,0.5605606315657496,200000,38.007389068603516,0.9767863154411316,0.07435479760169983,307555,45.2078971862793,0.9907299876213074,0.024703145027160645,250789,-23.598856419324875,1.4711570739746094,156821,100000,93023,35944,0.93023,0.35944
room_0,phase5,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,41.63006591796875,55.447058,166.3411751310341,11.225242838263512,0.5492338510230184,0.5971847148612142,125000,41.386775970458984,0.9842620491981506,0.0647425502538681,219725,46.10273742675781,0.9924156069755554,0.02492646686732769,214674,-30.40482307970524,-0.5788841247558594,151285,25000,22507,10037,0.90028,0.40148
office_0,phase5,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,36.58024978637695,32.63828,163.191400796175,13.015128821134567,0.5892062596976757,0.5611996334046125,125000,37.58660125732422,0.9768543243408203,0.06859845668077469,234490,44.866886138916016,0.9896478652954102,0.027346430346369743,227121,-23.565120965242386,1.1301460266113281,156821,25000,22534,12285,0.90136,0.4914
room_0,phase5,prior_25k_full_none,gaussian_direct_surface_rgb_prior_25k_full_none_15000,41.63006591796875,21.850946,163.8820917098783,11.225158676505089,0.5492848884314299,0.5971608879044652,125000,43.59489440917969,0.9872590899467468,0.05181102827191353,210306,46.643802642822266,0.9926042556762695,0.023895448073744774,205938,-30.40490724146366,-0.03781890869140625,151285,25000,22376,9810,0.89504,0.3924
office_0,phase5,prior_25k_full_none,gaussian_direct_surface_rgb_prior_25k_full_none_15000,36.58024978637695,54.9242,164.77259862190112,13.014146998524666,0.5894188676029444,0.5612568315118551,125000,35.05068588256836,0.9653472900390625,0.08983387798070908,244943,43.39754104614258,0.9870045185089111,0.03236309811472893,235244,-23.566102787852287,-0.3391990661621094,156821,25000,22524,10920,0.90096,0.4368
