experiment_name,label,group,scene_id,protection_mode,prior_sh_reset_mode,prior_target_total_gaussians,sfm_region_replacement_mode,iteration,method,psnr,ssim,lpips,gaussian_count,estimated_elapsed_sec
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_replace_region_15000,B replace_region,diagnostic,room_0,none,none,0,aligned_prior_aabb_union,2000,ours_2000,9.972771644592285,0.348400354385376,0.5267561078071594,594831,177.60882
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_replace_region_15000,B replace_region,diagnostic,room_0,none,none,0,aligned_prior_aabb_union,3000,ours_3000,10.561450004577637,0.4296535551548004,0.44176867604255676,1195419,266.413229
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_replace_region_15000,B replace_region,diagnostic,room_0,none,none,0,aligned_prior_aabb_union,5000,ours_5000,11.14609146118164,0.5003826022148132,0.37246575951576233,2283904,444.022049
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_replace_region_15000,B replace_region,diagnostic,room_0,none,none,0,aligned_prior_aabb_union,7000,ours_7000,11.598685264587402,0.5477997064590454,0.34014368057250977,3066981,621.630869
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_replace_region_15000,B replace_region,diagnostic,room_0,none,none,0,aligned_prior_aabb_union,10000,ours_10000,11.857708930969238,0.5756531357765198,0.32093489170074463,3870891,888.044098
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_replace_region_15000,B replace_region,diagnostic,room_0,none,none,0,aligned_prior_aabb_union,15000,ours_15000,12.253632545471191,0.6142246127128601,0.30115821957588196,4601648,1332.066147
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_15000,C sh_zero,diagnostic,room_0,none,zero_all,0,none,0,ours_0,8.13888767361641,0.044938697858015075,0.8347298242151737,200000,0.0
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_15000,C sh_zero,diagnostic,room_0,none,zero_all,0,none,500,ours_500,8.876086235046387,0.13692079484462738,0.7424003481864929,200000,43.77846
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_15000,C sh_zero,diagnostic,room_0,none,zero_all,0,none,1000,ours_1000,9.075392723083496,0.20295511186122894,0.6829463839530945,238541,87.556919
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_15000,C sh_zero,diagnostic,room_0,none,zero_all,0,none,2000,ours_2000,9.969642639160156,0.34980878233909607,0.5268020033836365,606734,175.113839
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_15000,C sh_zero,diagnostic,room_0,none,zero_all,0,none,3000,ours_3000,10.441508293151855,0.41897034645080566,0.4466002285480499,1197645,262.670758
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_15000,C sh_zero,diagnostic,room_0,none,zero_all,0,none,5000,ours_5000,11.146283149719238,0.5019357800483704,0.3742111623287201,2279483,437.784597
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_15000,C sh_zero,diagnostic,room_0,none,zero_all,0,none,7000,ours_7000,11.539397239685059,0.5426931977272034,0.34250834584236145,3055760,612.898435
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_15000,C sh_zero,diagnostic,room_0,none,zero_all,0,none,10000,ours_10000,11.89083194732666,0.5798224806785583,0.3201517164707184,3876797,875.569193
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_15000,C sh_zero,diagnostic,room_0,none,zero_all,0,none,15000,ours_15000,12.260777473449707,0.6144615411758423,0.2994796335697174,4692917,1313.35379
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_15000,A+C,combination,room_0,none,zero_all,25000,none,0,ours_0,8.150294288992882,0.04614372181822546,0.8362366976216435,125000,0.0
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_15000,A+C,combination,room_0,none,zero_all,25000,none,500,ours_500,8.884596824645996,0.13473784923553467,0.7464518547058105,125000,23.473114
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_15000,A+C,combination,room_0,none,zero_all,25000,none,1000,ours_1000,9.078783988952637,0.19936825335025787,0.6880059242248535,167325,46.946227
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_15000,A+C,combination,room_0,none,zero_all,25000,none,2000,ours_2000,9.919514656066895,0.3433665335178375,0.5326255559921265,548320,93.892455
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_15000,A+C,combination,room_0,none,zero_all,25000,none,3000,ours_3000,10.565749168395996,0.43153998255729675,0.44257569313049316,1154103,140.838682
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_15000,A+C,combination,room_0,none,zero_all,25000,none,5000,ours_5000,11.211918830871582,0.5065749287605286,0.37135180830955505,2261565,234.731137
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_15000,A+C,combination,room_0,none,zero_all,25000,none,7000,ours_7000,11.593963623046875,0.5468472838401794,0.3403192460536957,3008313,328.623592
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_15000,A+C,combination,room_0,none,zero_all,25000,none,10000,ours_10000,11.869030952453613,0.576557993888855,0.32083722949028015,3815790,469.462274
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_15000,A+C,combination,room_0,none,zero_all,25000,none,15000,ours_15000,12.279438018798828,0.6160804629325867,0.2989031672477722,4593861,704.193411
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_weak_15000,A+C weak(0.02),combination,room_0,weak(0.02),zero_all,25000,none,0,ours_0,8.15037715435028,0.04613467791932635,0.8361968491226435,125000,0.0
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_weak_15000,A+C weak(0.02),combination,room_0,weak(0.02),zero_all,25000,none,500,ours_500,8.8828763961792,0.13707482814788818,0.7440947890281677,125000,23.818071
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_weak_15000,A+C weak(0.02),combination,room_0,weak(0.02),zero_all,25000,none,1000,ours_1000,9.112854957580566,0.20288865268230438,0.686617374420166,159555,47.636142
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_weak_15000,A+C weak(0.02),combination,room_0,weak(0.02),zero_all,25000,none,2000,ours_2000,9.836243629455566,0.3284655809402466,0.5392557382583618,510042,95.272283
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_weak_15000,A+C weak(0.02),combination,room_0,weak(0.02),zero_all,25000,none,3000,ours_3000,10.436753273010254,0.4144614636898041,0.45340847969055176,1095030,142.908425
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_weak_15000,A+C weak(0.02),combination,room_0,weak(0.02),zero_all,25000,none,5000,ours_5000,11.134743690490723,0.4972570836544037,0.37770333886146545,2158550,238.180708
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_weak_15000,A+C weak(0.02),combination,room_0,weak(0.02),zero_all,25000,none,7000,ours_7000,11.474324226379395,0.5361367464065552,0.3466465473175049,2915932,333.452991
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_weak_15000,A+C weak(0.02),combination,room_0,weak(0.02),zero_all,25000,none,10000,ours_10000,11.83482837677002,0.5743240118026733,0.3224422037601471,3723492,476.361415
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_weak_15000,A+C weak(0.02),combination,room_0,weak(0.02),zero_all,25000,none,15000,ours_15000,12.266573905944824,0.6149705648422241,0.3009015917778015,4463525,714.542123
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_15000,A+B,combination,room_0,none,none,25000,aligned_prior_aabb_union,0,ours_0,8.136560037732124,0.047106521436944604,0.8275573272258043,108598,0.0
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_15000,A+B,combination,room_0,none,none,25000,aligned_prior_aabb_union,500,ours_500,8.888715744018555,0.1370205581188202,0.7405516505241394,108598,23.520642
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_15000,A+B,combination,room_0,none,none,25000,aligned_prior_aabb_union,1000,ours_1000,9.093092918395996,0.2018936276435852,0.6863696575164795,151503,47.041285
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_15000,A+B,combination,room_0,none,none,25000,aligned_prior_aabb_union,2000,ours_2000,9.82778549194336,0.3297155201435089,0.5350587964057922,532625,94.08257
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_15000,A+B,combination,room_0,none,none,25000,aligned_prior_aabb_union,3000,ours_3000,10.483664512634277,0.42116448283195496,0.44447991251945496,1152439,141.123855
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_15000,A+B,combination,room_0,none,none,25000,aligned_prior_aabb_union,5000,ours_5000,11.213370323181152,0.5065659880638123,0.36921584606170654,2275791,235.206424
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_15000,A+B,combination,room_0,none,none,25000,aligned_prior_aabb_union,7000,ours_7000,11.604269981384277,0.5493093132972717,0.33841443061828613,3041611,329.288994
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_15000,A+B,combination,room_0,none,none,25000,aligned_prior_aabb_union,10000,ours_10000,11.765896797180176,0.5688925385475159,0.3245212137699127,3851399,470.412849
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_15000,A+B,combination,room_0,none,none,25000,aligned_prior_aabb_union,15000,ours_15000,12.233482360839844,0.611977756023407,0.3012170195579529,4635505,705.619273
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_sh_zero_15000,A+B+C,combination,room_0,none,zero_all,25000,aligned_prior_aabb_union,0,ours_0,8.081108540296555,0.04443338411510922,0.8346588499844074,108603,0.0
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_sh_zero_15000,A+B+C,combination,room_0,none,zero_all,25000,aligned_prior_aabb_union,500,ours_500,8.849074363708496,0.13081437349319458,0.7462038397789001,108603,23.451614
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_sh_zero_15000,A+B+C,combination,room_0,none,zero_all,25000,aligned_prior_aabb_union,1000,ours_1000,9.04764461517334,0.1973789781332016,0.6922947764396667,146653,46.903227
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_sh_zero_15000,A+B+C,combination,room_0,none,zero_all,25000,aligned_prior_aabb_union,2000,ours_2000,9.864147186279297,0.3337436616420746,0.5359461307525635,510906,93.806454
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_sh_zero_15000,A+B+C,combination,room_0,none,zero_all,25000,aligned_prior_aabb_union,3000,ours_3000,10.477097511291504,0.41901636123657227,0.45044073462486267,1114550,140.709682
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_sh_zero_15000,A+B+C,combination,room_0,none,zero_all,25000,aligned_prior_aabb_union,5000,ours_5000,11.216517448425293,0.5060868263244629,0.3720456659793854,2219903,234.516136
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_sh_zero_15000,A+B+C,combination,room_0,none,zero_all,25000,aligned_prior_aabb_union,7000,ours_7000,11.48903751373291,0.537227213382721,0.3438795804977417,2998128,328.32259
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_sh_zero_15000,A+B+C,combination,room_0,none,zero_all,25000,aligned_prior_aabb_union,10000,ours_10000,11.797141075134277,0.5711786150932312,0.3221816122531891,3853593,469.032272
gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_sh_zero_15000,A+B+C,combination,room_0,none,zero_all,25000,aligned_prior_aabb_union,15000,ours_15000,12.28952407836914,0.6165130138397217,0.2987287938594818,4636244,703.548408
