dataset_family,dataset_label,experiment_name,scene_id,protection_mode,target_psnr,time_to_target_sec,total_time_sec,psnr_15000,ssim_15000,lpips_15000,gaussians_0,gaussians_3000,gaussians_15000,protected_3000,protected_15000,target_visible_min,target_visible_max,position_histogram_train,axis_counts_train,selection_mode
legacy_biased_roomwide_384,Legacy biased room-wide 384-view,03-21-samescene-rw-384-15k-2026,office_0,none,10.17326545715332,187.978705,939.8935252879746,12.30894947052002,0.625828742980957,0.2971493899822235,200000,1636817,6850703,99172,71026,124,384,,,room_wide_diverse_azimuth
legacy_biased_roomwide_384,Legacy biased room-wide 384-view,03-21-samescene-rw-384-weak-15k-2026,room_0,weak(0.02),10.5682373046875,162.927219,814.6360936318524,12.244332313537598,0.6135476231575012,0.2995116710662842,200000,1325831,5228865,100000,100000,158,384,,,room_wide_diverse_azimuth
legacy_biased_roomwide_384,Legacy biased room-wide 384-view,03-21-samescene-rw-384-weak-15k-2026,office_0,weak(0.02),10.17326545715332,183.540522,917.7026084912941,12.183032035827637,0.6204885244369507,0.30146661400794983,200000,1558255,6401951,100000,100000,124,384,,,room_wide_diverse_azimuth
roomwide_v2_96,Room-wide v2 96-view,03-21-baseline-rw-v2-96-15k-2026,room_0,none,10.466401100158691,142.576012,712.8800623910502,12.371344566345215,0.6352410912513733,0.2857426106929779,100000,1130984,5067251,,,44,96,"[10, 10, 10, 10, 10, 10, 10, 10]","{'ns': 37, 'ew': 40, 'other': 3}",room_wide_balanced_azimuth_v2
roomwide_v2_96,Room-wide v2 96-view,03-21-baseline-rw-v2-96-15k-2026,office_0,none,10.362614631652832,161.904288,809.5214416370727,12.327751159667969,0.6244943737983704,0.29667437076568604,100000,1452309,5832220,,,70,96,"[10, 10, 10, 10, 10, 10, 10, 10]","{'ns': 40, 'ew': 39, 'other': 1}",room_wide_balanced_azimuth_v2
roomwide_v2_96,Room-wide v2 96-view,03-21-samescene-rw-v2-96-15k-2026,room_0,none,10.466401100158691,149.390296,746.9514775509015,12.392768859863281,0.6372739672660828,0.28643283247947693,200000,1240271,5171670,98315,72751,44,96,"[10, 10, 10, 10, 10, 10, 10, 10]","{'ns': 37, 'ew': 40, 'other': 3}",room_wide_balanced_azimuth_v2
roomwide_v2_96,Room-wide v2 96-view,03-21-samescene-rw-v2-96-15k-2026,office_0,none,10.362614631652832,166.351881,831.7594043542631,12.38895320892334,0.6282992362976074,0.2995295822620392,200000,1587933,5907118,99828,80439,70,96,"[10, 10, 10, 10, 10, 10, 10, 10]","{'ns': 40, 'ew': 39, 'other': 1}",room_wide_balanced_azimuth_v2
roomwide_v2_96,Room-wide v2 96-view,03-21-samescene-rw-v2-96-weak-15k-2026,room_0,weak(0.02),10.466401100158691,143.404537,717.0226867338642,12.23788070678711,0.6246895790100098,0.29369011521339417,200000,1149437,4734791,100000,100000,44,96,"[10, 10, 10, 10, 10, 10, 10, 10]","{'ns': 37, 'ew': 40, 'other': 3}",room_wide_balanced_azimuth_v2
roomwide_v2_96,Room-wide v2 96-view,03-21-samescene-rw-v2-96-weak-15k-2026,office_0,weak(0.02),10.362614631652832,157.369263,786.8463167180307,12.337276458740234,0.6255167126655579,0.2988491952419281,200000,1481470,5434169,100000,100000,70,96,"[10, 10, 10, 10, 10, 10, 10, 10]","{'ns': 40, 'ew': 39, 'other': 1}",room_wide_balanced_azimuth_v2
roomwide_v2_192,Room-wide v2 192-view,03-21-baseline-rw-v2-192-15k-2026,room_0,none,10.53311824798584,140.079389,700.3969431426376,12.422257423400879,0.6314848065376282,0.2906654477119446,100000,1120272,4837692,,,88,192,"[20, 20, 20, 20, 20, 20, 20, 20]","{'ns': 75, 'ew': 80, 'other': 5}",room_wide_balanced_azimuth_v2
roomwide_v2_192,Room-wide v2 192-view,03-21-baseline-rw-v2-192-15k-2026,office_0,none,10.473563194274902,158.897363,794.4868164202198,12.243370056152344,0.6161832213401794,0.3018514811992645,100000,1417536,5577422,,,132,192,"[20, 20, 20, 20, 20, 20, 20, 20]","{'ns': 80, 'ew': 79, 'other': 1}",room_wide_balanced_azimuth_v2
roomwide_v2_192,Room-wide v2 192-view,03-21-samescene-rw-v2-192-15k-2026,room_0,none,10.53311824798584,147.730542,738.6527101988904,12.37963581085205,0.6283686757087708,0.2916799485683441,200000,1256266,4962493,95902,67291,88,192,"[20, 20, 20, 20, 20, 20, 20, 20]","{'ns': 75, 'ew': 80, 'other': 5}",room_wide_balanced_azimuth_v2
roomwide_v2_192,Room-wide v2 192-view,03-21-samescene-rw-v2-192-15k-2026,office_0,none,10.473563194274902,273.713326,821.1399789489806,12.291518211364746,0.6174044013023376,0.2981715798377991,200000,1549480,5681116,99741,79472,132,192,"[20, 20, 20, 20, 20, 20, 20, 20]","{'ns': 80, 'ew': 79, 'other': 1}",room_wide_balanced_azimuth_v2
roomwide_v2_192,Room-wide v2 192-view,03-21-samescene-rw-v2-192-weak-15k-2026,room_0,weak(0.02),10.53311824798584,234.807075,704.4212252530269,12.301994323730469,0.6225711703300476,0.29576027393341064,200000,1136773,4490927,100000,100000,88,192,"[20, 20, 20, 20, 20, 20, 20, 20]","{'ns': 75, 'ew': 80, 'other': 5}",room_wide_balanced_azimuth_v2
roomwide_v2_192,Room-wide v2 192-view,03-21-samescene-rw-v2-192-weak-15k-2026,office_0,weak(0.02),10.473563194274902,260.996601,782.9898040038534,12.28315258026123,0.6182171702384949,0.3006240427494049,200000,1453044,5250630,100000,100000,132,192,"[20, 20, 20, 20, 20, 20, 20, 20]","{'ns': 80, 'ew': 79, 'other': 1}",room_wide_balanced_azimuth_v2
roomwide_v2_384,Room-wide v2 384-view,03-21-baseline-rw-v2-384-15k-2026,room_0,none,10.32485580444336,138.474951,692.3747557080351,12.233680725097656,0.6134687066078186,0.3009008467197418,100000,1098647,4569461,,,189,384,"[40, 40, 40, 40, 40, 40, 40, 40]","{'ns': 141, 'ew': 160, 'other': 19}",room_wide_balanced_azimuth_v2
roomwide_v2_384,Room-wide v2 384-view,03-21-baseline-rw-v2-384-15k-2026,office_0,none,10.034464836120605,157.788629,788.9431459181942,12.176647186279297,0.6087865233421326,0.3019076883792877,100000,1389776,5301088,,,250,384,"[40, 40, 40, 40, 40, 40, 40, 40]","{'ns': 160, 'ew': 151, 'other': 9}",room_wide_balanced_azimuth_v2
roomwide_v2_384,Room-wide v2 384-view,03-21-samescene-rw-v2-384-15k-2026,room_0,none,10.32485580444336,142.970085,714.8504251777194,12.270485877990723,0.6155269145965576,0.29919958114624023,200000,1218554,4568764,94809,64287,189,384,"[40, 40, 40, 40, 40, 40, 40, 40]","{'ns': 141, 'ew': 160, 'other': 19}",room_wide_balanced_azimuth_v2
roomwide_v2_384,Room-wide v2 384-view,03-21-samescene-rw-v2-384-15k-2026,office_0,none,10.034464836120605,164.14531,820.7265520109795,12.234070777893066,0.613388180732727,0.2996126115322113,200000,1577293,5444376,99547,77740,250,384,"[40, 40, 40, 40, 40, 40, 40, 40]","{'ns': 160, 'ew': 151, 'other': 9}",room_wide_balanced_azimuth_v2
roomwide_v2_384,Room-wide v2 384-view,03-21-samescene-rw-v2-384-weak-15k-2026,room_0,weak(0.02),10.32485580444336,138.792701,693.9635063000023,12.195068359375,0.6091688275337219,0.30320924520492554,200000,1120542,4200452,100000,100000,189,384,"[40, 40, 40, 40, 40, 40, 40, 40]","{'ns': 141, 'ew': 160, 'other': 19}",room_wide_balanced_azimuth_v2
roomwide_v2_384,Room-wide v2 384-view,03-21-samescene-rw-v2-384-weak-15k-2026,office_0,weak(0.02),10.034464836120605,157.066329,785.3316447040997,12.209762573242188,0.6115788817405701,0.3019566237926483,200000,1447674,5085434,100000,100000,250,384,"[40, 40, 40, 40, 40, 40, 40, 40]","{'ns': 160, 'ew': 151, 'other': 9}",room_wide_balanced_azimuth_v2
