family_id,group,label,experiment_name,scene_id,protection_mode,prior_sh_reset_mode,prior_target_total_gaussians,sfm_region_replacement_mode,sfm_removed_point_count,sfm_removed_point_ratio,prior_original_total,prior_kept_total,target_psnr,time_to_target_sec,total_time_sec,iter_0_psnr,iter_0_ssim,iter_0_lpips,iter_0_gaussians,iter_3000_psnr,iter_3000_ssim,iter_3000_lpips,iter_3000_gaussians,iter_15000_psnr,iter_15000_ssim,iter_15000_lpips,iter_15000_gaussians,protected_3000,protected_15000
baseline,reference,baseline,gaussian_direct_baseline_from_scratch_vanilla_3dgs_multi_roomwide_v2_384_15000,room_0,none,,,,,,0,0,10.32485580444336,138.474951,692.3747557080351,8.142288662493229,0.047030019748490304,0.8381272619590163,100000,10.32485580444336,0.40424033999443054,0.4535878598690033,1098647,12.233680725097656,0.6134687066078186,0.3009008467197418,4569461,,
prior_none,reference,prior 100K none,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_15000,room_0,none,,,,,,100000,100000,10.32485580444336,142.970085,714.8504251777194,8.011765368282795,0.047613229689886793,0.8292878055945039,200000,10.486681938171387,0.4230066239833832,0.4424358606338501,1218554,12.270485877990723,0.6155269145965576,0.29919958114624023,4568764,94809,64287
prior_25k,reference,A prior_25k,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_15000,room_0,none,none,25000,none,0,0.0,100000,25000,10.32485580444336,142.536919,712.6845968835987,8.099511548876762,0.04750263720052317,0.8330871053040028,125000,10.56064224243164,0.43079283833503723,0.4372189939022064,1183260,12.289521217346191,0.616339921951294,0.29931262135505676,4667135,24396,18143
replace_region,diagnostic,B replace_region,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_replace_region_15000,room_0,none,none,0,aligned_prior_aabb_union,16420,0.1642,100000,100000,10.32485580444336,266.413229,1332.0661474862136,8.170989327132702,0.04962555578094907,0.8236036850139499,183580,10.561450004577637,0.4296535551548004,0.44176867604255676,1195419,12.253632545471191,0.6142246127128601,0.30115821957588196,4601648,93937,64009
sh_zero,diagnostic,C sh_zero,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_sh_zero_15000,room_0,none,zero_all,0,none,0,0.0,100000,100000,10.32485580444336,262.670758,1313.3537895157933,8.13888767361641,0.044938697858015075,0.8347298242151737,200000,10.441508293151855,0.41897034645080566,0.4466002285480499,1197645,12.260777473449707,0.6144615411758423,0.2994796335697174,4692917,84576,49524
combo_ac,combination,A+C,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_15000,room_0,none,zero_all,25000,none,0,0.0,100000,25000,10.32485580444336,140.838682,704.193411081098,8.150294288992882,0.04614372181822546,0.8362366976216435,125000,10.565749168395996,0.43153998255729675,0.44257569313049316,1154103,12.279438018798828,0.6160804629325867,0.2989031672477722,4593861,22951,13404
combo_ac_weak,combination,A+C weak(0.02),gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_sh_zero_weak_15000,room_0,weak(0.02),zero_all,25000,none,0,0.0,100000,25000,10.32485580444336,142.908425,714.5421231607907,8.15037715435028,0.04613467791932635,0.8361968491226435,125000,10.436753273010254,0.4144614636898041,0.45340847969055176,1095030,12.266573905944824,0.6149705648422241,0.3009015917778015,4463525,25000,25000
combo_ab,combination,A+B,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_15000,room_0,none,none,25000,aligned_prior_aabb_union,16402,0.16402,100000,25000,10.32485580444336,141.123855,705.6192728080787,8.136560037732124,0.047106521436944604,0.8275573272258043,108598,10.483664512634277,0.42116448283195496,0.44447991251945496,1152439,12.233482360839844,0.611977756023407,0.3012170195579529,4635505,24610,18065
combo_abc,combination,A+B+C,gaussian_direct_same_scene_exact_clip_roomwide_v2_384_prior_25k_replace_region_sh_zero_15000,room_0,none,zero_all,25000,aligned_prior_aabb_union,16397,0.16397,100000,25000,10.32485580444336,140.709682,703.5484078750014,8.081108540296555,0.04443338411510922,0.8346588499844074,108603,10.477097511291504,0.41901636123657227,0.45044073462486267,1114550,12.28952407836914,0.6165130138397217,0.2987287938594818,4636244,20939,14247
