scene_id,group,label,experiment_name,iteration,method,psnr,ssim,lpips,gaussian_count,estimated_elapsed_sec
room_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,3000,ours_3000,43.39707946777344,0.987372100353241,0.053415004163980484,284142,35.36436
room_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,5000,ours_5000,45.12824630737305,0.9900990128517151,0.037424925714731216,250996,58.9406
room_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,7000,ours_7000,45.67972183227539,0.9911067485809326,0.03467899560928345,238188,82.516841
room_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,10000,ours_10000,46.5336799621582,0.9921040534973145,0.028179017826914787,230520,117.881201
room_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,15000,ours_15000,47.18379592895508,0.9930118918418884,0.02218322642147541,222044,176.821801
office_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,0,ours_0,12.981393367052078,0.5894779171794653,0.5605606315657496,200000,0.0
office_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,500,ours_500,24.78418731689453,0.9229984283447266,0.23178112506866455,200000,5.919204
office_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,1000,ours_1000,29.795509338378906,0.9508787989616394,0.15632231533527374,249658,11.838409
office_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,2000,ours_2000,32.04533004760742,0.958182156085968,0.11197566241025925,292420,23.676818
office_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,3000,ours_3000,38.007389068603516,0.9767863154411316,0.07435479760169983,307555,35.515227
office_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,5000,ours_5000,39.51331329345703,0.981245219707489,0.05766913294792175,270806,59.192044
office_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,7000,ours_7000,42.81435775756836,0.9867647290229797,0.03996993973851204,260687,82.868862
office_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,10000,ours_10000,43.867462158203125,0.9887219071388245,0.03116130270063877,254774,118.384088
office_0,phase5,prior_100k,gaussian_direct_surface_rgb_prior_100k_15000,15000,ours_15000,45.2078971862793,0.9907299876213074,0.024703145027160645,250789,177.576133
room_0,phase5,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,0,ours_0,11.225242838263512,0.5492338510230184,0.5971847148612142,125000,0.0
room_0,phase5,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,500,ours_500,32.644287109375,0.9570416808128357,0.21166236698627472,125000,5.544706
room_0,phase5,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,1000,ours_1000,37.20426940917969,0.972137987613678,0.14413787424564362,178506,11.089412
room_0,phase5,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,2000,ours_2000,40.72281265258789,0.9826188087463379,0.07617780566215515,205496,22.178823
room_0,phase5,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,3000,ours_3000,41.386775970458984,0.9842620491981506,0.0647425502538681,219725,33.268235
room_0,phase5,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,5000,ours_5000,44.92287826538086,0.989682137966156,0.04023496434092522,222203,55.447058
room_0,phase5,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,7000,ours_7000,45.25249099731445,0.9906105995178223,0.03555001690983772,220753,77.625882
room_0,phase5,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,10000,ours_10000,45.64231491088867,0.9915313720703125,0.031432610005140305,218841,110.894117
room_0,phase5,prior_25k,gaussian_direct_surface_rgb_prior_25k_15000,15000,ours_15000,46.10273742675781,0.9924156069755554,0.02492646686732769,214674,166.341175
