experiment_name,scene_id,initialization,prior_object_id,prior_count,iteration,method,psnr,ssim,lpips,gaussian_count,estimated_elapsed_sec
baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,from_scratch,,0,500,ours_500,11.049544334411621,0.33467864990234375,0.5968704223632812,100000,14.068457
baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,from_scratch,,0,1000,ours_1000,11.867573738098145,0.44773945212364197,0.46980026364326477,165226,28.136913
baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,from_scratch,,0,2000,ours_2000,12.566612243652344,0.5408803820610046,0.37494906783103943,711796,56.273827
baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,from_scratch,,0,3000,ours_3000,12.844776153564453,0.5749508738517761,0.3452586233615875,1164894,84.41074
baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,from_scratch,,0,5000,ours_5000,13.181954383850098,0.6121237874031067,0.3157031238079071,1619752,140.684567
baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,from_scratch,,0,7000,ours_7000,13.311145782470703,0.6259048581123352,0.30595722794532776,1888725,196.958394
baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,from_scratch,,0,10000,ours_10000,13.468779563903809,0.6420208215713501,0.29561662673950195,2186064,281.369135
baseline_from_scratch_vanilla_3dgs_multi_15000,room_0,from_scratch,,0,15000,ours_15000,13.667689323425293,0.6604282259941101,0.2802464962005615,2581236,422.053702
baseline_smoke_vanilla_3dgs,office_0,from_scratch,,,1,ours_1,8.195902824401855,0.024942396208643913,0.8737056851387024,100000,2.670856
baseline_smoke_vanilla_3dgs,room_0,from_scratch,,,1,ours_1,9.30715274810791,0.07447542995214462,0.8176722526550293,100000,2.311261
oracle_prior_vanilla_3dgs,office_0,prior,chair_0240,,500,ours_500,10.893619537353516,0.18131990730762482,0.7285127639770508,127017,9.745236
oracle_prior_vanilla_3dgs,office_0,prior,chair_0240,,1000,ours_1000,11.556073188781738,0.3168303966522217,0.5846396088600159,201994,19.490471
oracle_prior_vanilla_3dgs,office_0,prior,chair_0240,,2000,ours_2000,12.079859733581543,0.39148521423339844,0.5077628493309021,767421,38.980942
oracle_prior_vanilla_3dgs,office_0,prior,chair_0240,,3000,ours_3000,12.304112434387207,0.4180936813354492,0.4860708713531494,1255766,58.471414
oracle_prior_vanilla_3dgs,office_0,prior,chair_0240,,5000,ours_5000,12.547809600830078,0.44617971777915955,0.46250638365745544,1670534,97.452356
oracle_prior_vanilla_3dgs,office_0,prior,chair_0240,,7000,ours_7000,12.65433120727539,0.45828190445899963,0.4550868272781372,1901301,136.433298
oracle_prior_vanilla_3dgs,room_0,prior,chair_0201,,500,ours_500,11.053399085998535,0.198055699467659,0.7075249552726746,123178,8.665098
oracle_prior_vanilla_3dgs,room_0,prior,chair_0201,,1000,ours_1000,11.60702896118164,0.2909102141857147,0.6112671494483948,170414,17.330196
oracle_prior_vanilla_3dgs,room_0,prior,chair_0201,,2000,ours_2000,12.276260375976562,0.3880563974380493,0.5006117820739746,579980,34.660391
oracle_prior_vanilla_3dgs,room_0,prior,chair_0201,,3000,ours_3000,12.575852394104004,0.42780768871307373,0.4627539813518524,954963,51.990587
oracle_prior_vanilla_3dgs,room_0,prior,chair_0201,,5000,ours_5000,12.9068603515625,0.4737075865268707,0.41962024569511414,1366988,86.650978
