experiment_name,backend,initialization,status,dataset_name,scene_id,total_optimization_time_sec,time_to_target_quality_sec,target_psnr,final_iteration,psnr,ssim,lpips,gaussian_count,retrieval_accuracy,prior_object_id,prior_category,prior_count,prior_object_ids,warning_count
oracle_prior_vanilla_3dgs_multi_clip_geom_filtered,vanilla_3dgs,prior,completed,replica,office_0,148.1886099120602,,,7000,12.945388793945312,0.559260368347168,0.36537763476371765,1987187,0.7970355898141861,sofa_0128,sofa,4,"sofa_0128,sofa_0065,table_0230,chair_0239",0
oracle_prior_vanilla_3dgs_multi_clip_geom_filtered,vanilla_3dgs,prior,completed,replica,room_0,145.4406177769415,,,7000,13.288440704345703,0.6254823803901672,0.3031374216079712,1916340,0.7736525386571884,lamp_0085,lamp,4,"lamp_0085,sofa_0131,sofa_0114,chair_0016",0
oracle_prior_vanilla_3dgs_multi_clip_geom_weighted,vanilla_3dgs,prior,completed,replica,office_0,150.00131162907928,,,7000,12.988173484802246,0.5622719526290894,0.36386701464653015,2006432,0.7970355898141861,sofa_0128,sofa,4,"sofa_0128,sofa_0065,table_0230,chair_0239",0
oracle_prior_vanilla_3dgs_multi_clip_geom_weighted,vanilla_3dgs,prior,completed,replica,room_0,146.66938347695395,,,7000,13.302529335021973,0.6253371238708496,0.306972861289978,1931527,0.7736525386571884,lamp_0085,lamp,4,"lamp_0085,sofa_0131,sofa_0114,chair_0016",0
oracle_prior_vanilla_3dgs_multi_mean_rgb,vanilla_3dgs,prior,completed,replica,office_0,153.37571796402335,,,7000,12.95682430267334,0.5583733916282654,0.3661879599094391,2015440,0.9977621734142303,sofa_0003,sofa,4,"sofa_0003,sofa_0050,table_0020,chair_0240",0
oracle_prior_vanilla_3dgs_multi_mean_rgb,vanilla_3dgs,prior,completed,replica,room_0,148.27102667605504,,,7000,13.302268981933594,0.6265966892242432,0.303954154253006,1941607,0.9997421652078629,lamp_0019,lamp,4,"lamp_0019,sofa_0003,sofa_0003,chair_0201",0
oracle_prior_vanilla_3dgs_multi_mean_rgb_15000,vanilla_3dgs,prior,completed,replica,office_0,458.71123894071206,,,15000,13.28554630279541,0.5934297442436218,0.34073951840400696,2730969,0.9977621734142303,sofa_0003,sofa,4,"sofa_0003,sofa_0050,table_0020,chair_0240",0
oracle_prior_vanilla_3dgs_multi_mean_rgb_15000,vanilla_3dgs,prior,completed,replica,room_0,433.1251033716835,,,15000,13.666180610656738,0.6629236340522766,0.2769678831100464,2601643,0.9997421652078629,lamp_0019,lamp,4,"lamp_0019,sofa_0003,sofa_0003,chair_0201",0
oracle_prior_vanilla_3dgs_multi_mean_rgb_alignfix_v1_15000,vanilla_3dgs,prior,completed,replica,office_0,467.15643866406754,,,15000,13.346779823303223,0.6040725708007812,0.3296244144439697,2785968,0.9977621734142303,sofa_0003,sofa,4,"sofa_0003,sofa_0050,table_0020,chair_0240",0
oracle_prior_vanilla_3dgs_multi_mean_rgb_alignfix_v1_15000,vanilla_3dgs,prior,completed,replica,room_0,437.7702766209841,,,15000,13.690670013427734,0.6659640669822693,0.27712371945381165,2630385,0.9997421652078629,lamp_0019,lamp,4,"lamp_0019,sofa_0003,sofa_0003,chair_0201",0
oracle_prior_vanilla_3dgs_multi_mean_rgb_alignfix_v2_15000,vanilla_3dgs,prior,completed,replica,office_0,464.1618142114021,,,15000,13.347770690917969,0.6021344065666199,0.33289429545402527,2767658,0.9977621734142303,sofa_0003,sofa,4,"sofa_0003,sofa_0050,table_0020,chair_0240",0
oracle_prior_vanilla_3dgs_multi_mean_rgb_alignfix_v2_15000,vanilla_3dgs,prior,completed,replica,room_0,433.4869036548771,,,15000,13.674338340759277,0.6605010032653809,0.2802562415599823,2603466,0.9997421652078629,lamp_0019,lamp,4,"lamp_0019,sofa_0003,sofa_0003,chair_0201",0
